,restaurent,online_order,book_table,rating,votes,location,rest_type,food_type,cost,type,city
27,Sea Green Cafe,No,No,3.3,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,Cafes,Banashankari
28,Cuppa,No,No,3.3,23,Banashankari,Cafe,"Cafe, Fast Food",550,Cafes,Banashankari
29,Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Cafes,Banashankari
30,Redberrys,Yes,No,4.0,219,Basavanagudi,Cafe,"Cafe, Italian",600,Cafes,Banashankari
31,Foodiction,Yes,No,2.8,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,Delivery,Banashankari
32,Sweet Truth,Yes,No,3.9,35,Banashankari,Delivery,"Bakery, Desserts",500,Delivery,Banashankari
33,Ovenstory Pizza,Yes,No,3.9,172,Banashankari,Delivery,Pizza,750,Delivery,Banashankari
34,Faasos,Yes,No,4.2,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery,Banashankari
35,Behrouz Biryani,Yes,No,3.9,230,Banashankari,Delivery,Biryani,650,Delivery,Banashankari
36,Fast And Fresh,Yes,No,2.8,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,Delivery,Banashankari
37,Szechuan Dragon,Yes,No,4.2,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,Delivery,Banashankari
38,Empire Restaurant,Yes,No,4.4,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery,Banashankari
39,Maruthi Davangere Benne Dosa,Yes,No,4.0,17,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari
40,Chaatimes,Yes,No,3.8,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari
41,Havyaka Mess,No,No,3.9,28,Banashankari,Mess,South Indian,300,Delivery,Banashankari
42,McDonald's,Yes,No,3.9,286,Banashankari,Quick Bites,"Burger, Fast Food",500,Delivery,Banashankari
43,Domino's Pizza,Yes,No,3.9,540,Banashankari,Quick Bites,"Pizza, Fast Food",800,Delivery,Banashankari
44,Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery,Banashankari
45,Hotboxit,No,No,3.8,36,Banashankari,Delivery,"North Indian, Continental, Italian",400,Delivery,Banashankari
46,Kitchen Garden,Yes,No,3.6,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
47,Recipe,Yes,No,4.0,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,Delivery,Banashankari
48,Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850,Delivery,Banashankari
49,Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,Delivery,Banashankari
50,Petoo,No,No,3.7,21,Banashankari,Quick Bites,North Indian,450,Delivery,Banashankari
51,Shree Cool Point,Yes,No,4.1,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150,Delivery,Banashankari
52,Corner House Ice Cream,No,No,4.3,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,Banashankari
53,Biryanis And More,Yes,No,4.0,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Banashankari
54,Roving Feast,No,No,4.0,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,Delivery,Banashankari
55,FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Banashankari
56,Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Quick Bites,"Biryani, Fast Food",300,Delivery,Banashankari
57,Wamama,Yes,Yes,4.2,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery,Banashankari
58,Five Star Chicken,No,No,3.6,55,Banashankari,Quick Bites,"Fast Food, Burger",200,Delivery,Banashankari
59,XO Belgian Waffle,Yes,No,3.7,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400,Delivery,Banashankari
60,Peppy Peppers,No,No,4.2,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800,Delivery,Banashankari
61,Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery,Banashankari
62,Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Quick Bites,Chinese,150,Delivery,Banashankari
63,1947,No,Yes,4.0,808,Banashankari,Casual Dining,"North Indian, Chinese",850,Delivery,Banashankari
64,Cake of the Day,No,No,3.7,78,Banashankari,"Bakery, Dessert Parlor",Bakery,150,Delivery,Banashankari
65,Kabab Magic,Yes,No,4.1,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,Delivery,Banashankari
66,Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,Quick Bites,South Indian,100,Delivery,Banashankari
67,Gustoes Beer House,No,No,4.1,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,Delivery,Banashankari
68,Sugar Rush,No,No,3.8,39,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
69,Burger King,Yes,No,3.2,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery,Banashankari
70,The Good Bowl,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery,Banashankari
71,The Biryani Cafe,No,No,4.1,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300,Delivery,Banashankari
72,Spicy Tandoor,No,No,4.1,0,Banashankari,Quick Bites,North Indian,150,Delivery,Banashankari
73,LSD Cafe,No,No,2.9,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700,Delivery,Banashankari
74,Rolls On Wheels,No,No,3.6,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300,Delivery,Banashankari
75,Om Sri Vinayaka Chats,No,No,3.6,0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500,Delivery,Banashankari
76,Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,Quick Bites,South Indian,150,Delivery,Banashankari
77,Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,Quick Bites,"Biryani, South Indian",300,Delivery,Banashankari
78,Kolbeh,No,No,3.7,22,Banashankari,Quick Bites,Fast Food,500,Delivery,Banashankari
79,Upahar Sagar,No,No,3.8,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,Delivery,Banashankari
80,Kadalu Sea Food Restaurant,Yes,No,3.8,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery,Banashankari
81,Frozen Bottle,Yes,No,4.2,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400,Delivery,Banashankari
82,Parimala Sweets,No,No,3.5,14,Banashankari,Sweet Shop,"Mithai, Street Food",200,Delivery,Banashankari
83,Vaishali Deluxe,No,No,3.8,42,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
85,The Big O Bakes,No,No,4.0,66,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
86,Meghana Foods,Yes,No,4.4,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery,Banashankari
87,Krishna Sagar,No,No,3.5,31,Banashankari,Quick Bites,North Indian,200,Delivery,Banashankari
88,Dessert Rose,No,No,3.5,7,Banashankari,Dessert Parlor,Desserts,500,Delivery,Banashankari
89,Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,Quick Bites,Biryani,250,Delivery,Banashankari
93,Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Dessert Parlor,Ice Cream,300,Delivery,Banashankari
94,Nandhini Deluxe,No,No,2.6,283,Banashankari,Casual Dining,North Indian,600,Delivery,Banashankari
95,Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800,Delivery,Banashankari
96,Kaggis,No,No,3.8,64,Banashankari,Quick Bites,"Fast Food, Bakery",250,Delivery,Banashankari
97,Ayda Persian Kitchen,No,No,3.7,39,Banashankari,Casual Dining,"North Indian, Iranian",950,Delivery,Banashankari
98,Chatar Patar,No,No,3.7,65,Banashankari,Quick Bites,"Fast Food, Street Food",300,Delivery,Banashankari
99,Polar Bear,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Banashankari
100,Kidambi's Kitchen,No,No,3.5,52,Banashankari,Quick Bites,South Indian,300,Delivery,Banashankari
101,Mane Thindi,No,No,3.7,130,Banashankari,Quick Bites,South Indian,200,Delivery,Banashankari
102,Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery,Banashankari
103,Floured-Baked With Love,No,No,3.8,45,Banashankari,"Takeaway, Delivery",Bakery,400,Delivery,Banashankari
104,CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600,Delivery,Banashankari
105,Cakes & Slices,No,No,3.5,13,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
106,Spice 9,No,No,3.4,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300,Delivery,Banashankari
108,Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,Quick Bites,Biryani,300,Delivery,Banashankari
109,Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,Quick Bites,North Indian,300,Delivery,Banashankari
110,Hari Super Sandwich,No,No,3.2,0,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200,Delivery,Banashankari
111,Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,Quick Bites,North Indian,150,Delivery,Banashankari
112,Just Bake,No,No,3.4,8,Banashankari,Bakery,"Bakery, Desserts",400,Delivery,Banashankari
119,K27 - The Pub,No,No,3.1,30,Banashankari,Bar,"Chinese, North Indian",1000,Delivery,Banashankari
120,Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari
121,New Mangalore Lunch Home,No,No,3.3,7,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200,Delivery,Banashankari
122,Coffee Bytes,No,No,3.1,6,Banashankari,Quick Bites,"Fast Food, South Indian",100,Delivery,Banashankari
123,Parjanya Chat Zone,No,No,3.3,17,Banashankari,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari
124,Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,Banashankari
127,Ruchi Maayaka,No,No,3.3,8,Banashankari,Delivery,South Indian,100,Delivery,Banashankari
130,Roll Magic Fast Food,No,No,3.3,0,Banashankari,"Takeaway, Delivery","Biryani, Rolls, Chinese",200,Delivery,Banashankari
131,Foodlieious Multi Cuisine,No,No,3.3,0,Banashankari,Quick Bites,North Indian,100,Delivery,Banashankari
132,Thanishka Nati And Karavali Style,No,No,3.3,0,Banashankari,Quick Bites,"Biryani, Fast Food",400,Delivery,Banashankari
143,Melting Melodies,No,No,3.3,0,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",100,Delivery,Banashankari
144,New Indraprasta,No,No,3.3,0,Banashankari,Quick Bites,"South Indian, Beverages",150,Delivery,Banashankari
145,Anna Kuteera,Yes,No,4.0,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery,Banashankari
146,Darbar,No,No,3.0,98,Banashankari,Bar,"North Indian, Chinese",800,Delivery,Banashankari
147,Vijayalakshmi,Yes,No,3.9,47,Basavanagudi,Quick Bites,South Indian,200,Delivery,Banashankari
148,Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery,Banashankari
149,Udupi Upahar,Yes,No,3.8,58,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300,Delivery,Banashankari
150,House Of Kebabs,Yes,No,3.8,540,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650,Delivery,Banashankari
151,Roll N Rock,Yes,No,3.8,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400,Delivery,Banashankari
152,BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery,Banashankari
153,KFC,Yes,No,3.8,505,Banashankari,Quick Bites,"Burger, Fast Food",450,Delivery,Banashankari
154,Bitez,No,No,3.8,0,Banashankari,Quick Bites,Fast Food,100,Delivery,Banashankari
155,Roll Over,Yes,No,4.1,438,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery,Banashankari
156,Imperial Restaurant,Yes,No,3.7,264,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750,Delivery,Banashankari
157,Lassi Shop,Yes,No,3.9,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150,Delivery,Banashankari
158,The Fortuna,Yes,No,3.0,67,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
159,Wahab,Yes,No,3.7,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350,Delivery,Banashankari
160,Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",Biryani,300,Delivery,Banashankari
161,New Gowda's Fried Chicken,Yes,No,3.3,12,Banashankari,Quick Bites,Biryani,300,Delivery,Banashankari
162,Canton,Yes,No,3.6,195,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800,Delivery,Banashankari
163,Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300,Delivery,Banashankari
164,The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,Cafe,"Cafe, Beverages",400,Delivery,Banashankari
165,HOT COFFEE,Yes,No,4.1,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150,Delivery,Banashankari
166,Patio 805,Yes,Yes,4.1,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200,Delivery,Banashankari
167,Lassi Corner,Yes,No,3.7,107,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150,Delivery,Banashankari
168,Sagar Deluxe,Yes,No,3.2,167,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300,Delivery,Banashankari
169,Kanti Sweets,Yes,No,4.0,115,Banashankari,Sweet Shop,"Mithai, Street Food",400,Delivery,Banashankari
170,Vegetalia,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",400,Delivery,Banashankari
171,Aramane Donne Biryani,Yes,No,3.5,57,Banashankari,Quick Bites,Biryani,200,Delivery,Banashankari
172,Ande Ka Funda,Yes,No,3.8,120,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250,Delivery,Banashankari
173,Cake Ghar,Yes,No,3.8,15,Basavanagudi,Bakery,Bakery,400,Delivery,Banashankari
174,Energy Addaa,Yes,No,4.2,64,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery,Banashankari
175,Bhattara Bhojana,Yes,No,3.6,66,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari
176,Tandoori Knight,Yes,No,3.0,290,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450,Delivery,Banashankari
177,Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,Quick Bites,Street Food,200,Delivery,Banashankari
178,Mitraa Da Pizza,Yes,No,3.8,115,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250,Delivery,Banashankari
179,Paradise Premium,Yes,No,3.1,119,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery,Banashankari
180,Grazers,Yes,Yes,3.9,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Banashankari
181,Shakes Theory,Yes,No,4.5,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",300,Delivery,Banashankari
182,@Italy,Yes,No,4.1,305,Kumaraswamy Layout,Casual Dining,Italian,700,Delivery,Banashankari
183,Chilli Flakes,Yes,No,3.6,46,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500,Delivery,Banashankari
184,Calcutta Cafe,Yes,No,3.5,45,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350,Delivery,Banashankari
185,Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Dessert Parlor,Ice Cream,150,Delivery,Banashankari
186,Donne Biriyani House,Yes,No,3.9,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400,Delivery,Banashankari
187,By 2 Coffee,Yes,No,3.9,25,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
188,Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200,Delivery,Banashankari
189,Davangere Butter Dosa Hotel,Yes,No,3.8,25,Kumaraswamy Layout,Quick Bites,South Indian,150,Delivery,Banashankari
190,Just Shawarma,Yes,No,3.9,160,Kumaraswamy Layout,Quick Bites,Arabian,300,Delivery,Banashankari
191,Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,Quick Bites,North Indian,350,Delivery,Banashankari
192,Mulabagilu Dosa,Yes,No,3.6,11,Basavanagudi,Quick Bites,South Indian,100,Delivery,Banashankari
193,CafDown The Alley,Yes,No,4.1,402,Banashankari,Cafe,Cafe,500,Delivery,Banashankari
194,Gokul Veg,Yes,No,3.8,469,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750,Delivery,Banashankari
195,Olive - Era,Yes,No,3.3,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery,Banashankari
196,Udupi Ruchi,Yes,No,3.9,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Banashankari
197,Madhappa Hindu Military Hotel,Yes,No,3.4,14,Banashankari,Quick Bites,South Indian,300,Delivery,Banashankari
198,Gama Gama,Yes,No,3.9,264,Banashankari,Quick Bites,South Indian,200,Delivery,Banashankari
199,The Vintage Cafe,Yes,No,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Delivery,Banashankari
200,Pizza Hut,Yes,No,3.8,693,Banashankari,Casual Dining,"Pizza, Fast Food",750,Delivery,Banashankari
201,Mangalore Pearl,Yes,No,3.8,242,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650,Delivery,Banashankari
202,Asha Sweets Centre,Yes,No,3.6,27,Basavanagudi,Dessert Parlor,Fast Food,250,Delivery,Banashankari
203,Twiststick House,Yes,No,4.1,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500,Delivery,Banashankari
204,Cool Corner,Yes,No,4.2,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",250,Delivery,Banashankari
205,Pizza Mane,Yes,No,3.5,32,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150,Delivery,Banashankari
206,Dal Tadkaa,Yes,No,2.5,247,Banashankari,Casual Dining,North Indian,500,Delivery,Banashankari
207,Chutney Chang,Yes,Yes,4.1,2339,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",1500,Delivery,Banashankari
208,Mystique Palate,Yes,No,4.1,337,Jayanagar,Quick Bites,"Chinese, Fast Food",300,Delivery,Banashankari
209,Thamboola,Yes,No,3.9,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800,Delivery,Banashankari
210,Castle Rock,Yes,No,3.6,172,Uttarahalli,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
211,Vietnamese Kitchen,Yes,No,3.6,105,Banashankari,Casual Dining,Vietnamese,700,Delivery,Banashankari
212,Smacznego,Yes,No,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Delivery,Banashankari
213,C Corner,Yes,No,3.2,36,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",200,Delivery,Banashankari
214,Paratha Merchant,Yes,No,3.1,39,Kumaraswamy Layout,Quick Bites,North Indian,300,Delivery,Banashankari
215,North Rasoe,Yes,No,3.1,5,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500,Delivery,Banashankari
217,Toscano,Yes,Yes,4.3,1129,Jayanagar,Casual Dining,"Italian, Salad",1300,Delivery,Banashankari
218,Lord Of The Kitchen,Yes,No,3.9,56,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",350,Delivery,Banashankari
219,Stoned Monkey,Yes,No,4.3,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500,Delivery,Banashankari
220,Central Jail Restaurant,Yes,No,3.8,412,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700,Delivery,Banashankari
221,Bella,Yes,Yes,3.9,142,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian",1000,Delivery,Banashankari
222,Vennela Andhra Meals,Yes,No,3.0,23,Jayanagar,Quick Bites,Andhra,400,Delivery,Banashankari
223,New Prashanth Hotel,Yes,No,3.6,143,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,Delivery,Banashankari
224,The Grillo,Yes,Yes,2.8,80,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,Delivery,Banashankari
225,Re Malnad Nati Style Hotel,Yes,No,3.6,16,JP Nagar,Casual Dining,South Indian,400,Delivery,Banashankari
226,Karma Kaapi,Yes,No,4.4,181,Jayanagar,Beverage Shop,"Beverages, Tea",250,Delivery,Banashankari
227,Tiwari's,Yes,No,3.8,70,Jayanagar,Quick Bites,"North Indian, Street Food",200,Delivery,Banashankari
228,Pizza Stop,Yes,No,3.8,164,Basavanagudi,Quick Bites,"Pizza, Italian",600,Delivery,Banashankari
229,Biggies Burger 'n' More,Yes,No,3.6,58,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages",650,Delivery,Banashankari
230,Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Delivery,Banashankari
231,Kollapuri's,No,No,3.9,206,Basavanagudi,Quick Bites,"South Indian, Mangalorean",450,Delivery,Banashankari
234,Kadamba Classic,No,No,3.6,16,Mysore Road,Quick Bites,South Indian,300,Delivery,Banashankari
235,RS Shiv Sagar,No,No,3.7,217,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450,Delivery,Banashankari
236,Kholi Mane,No,No,3.6,46,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450,Delivery,Banashankari
237,Harshi Super Sandwich,No,No,3.8,148,Basavanagudi,Quick Bites,"Fast Food, Street Food",150,Delivery,Banashankari
238,Cake Yard,No,No,3.4,30,Basavanagudi,Dessert Parlor,Desserts,250,Delivery,Banashankari
239,Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,Delivery,Banashankari
240,Sri Udupi Veg,No,No,3.3,4,Jayanagar,Quick Bites,South Indian,250,Delivery,Banashankari
241,Cake Art,No,No,3.5,15,Basavanagudi,"Bakery, Quick Bites",Bakery,400,Delivery,Banashankari
245,Potato House,Yes,No,3.4,9,Uttarahalli,Quick Bites,Street Food,200,Delivery,Banashankari
247,Matru Sagar,Yes,No,3.7,31,Mysore Road,Quick Bites,"South Indian, North Indian",300,Delivery,Banashankari
248,Ugadi,Yes,No,2.9,177,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700,Delivery,Banashankari
